# Force coefficients
# liftDir      : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# dragDir      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis    : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf      : 1.00000000e+00
# lRef         : 1.00000000e+00
# Aref         : 2.00000000e+00
# CofR         : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
# Time         	Cm             	Cd             	Cl             	Cl(f)          	Cl(r)          
176            	-2.91135492e-04	1.06829169e+00	1.10197971e-01	5.48078500e-02	5.53901210e-02
177            	4.32001555e-04	1.06483993e+00	1.28260091e-01	6.45620469e-02	6.36980438e-02
178            	1.11680129e-03	1.06347914e+00	1.37508884e-01	6.98712433e-02	6.76376407e-02
179            	1.71552580e-03	1.06467822e+00	1.37398233e-01	7.04146421e-02	6.69835905e-02
180            	2.19200875e-03	1.06809126e+00	1.28425728e-01	6.64048725e-02	6.20208550e-02
181            	2.52003222e-03	1.07165667e+00	1.10664819e-01	5.78524416e-02	5.28123772e-02
182            	2.68296616e-03	1.07549992e+00	8.51731203e-02	4.52695263e-02	3.99035940e-02
183            	2.66705271e-03	1.07771829e+00	5.27683014e-02	2.90512034e-02	2.37170980e-02
184            	2.46789076e-03	1.07927713e+00	1.62398618e-02	1.05878217e-02	5.65204015e-03
185            	2.09256893e-03	1.07906316e+00	-2.11070029e-02	-8.46093250e-03	-1.26460704e-02
186            	1.56332594e-03	1.07682780e+00	-5.65710091e-02	-2.67221786e-02	-2.98488305e-02
187            	9.18621496e-04	1.07230251e+00	-8.73823915e-02	-4.27725742e-02	-4.46098172e-02
188            	2.08764572e-04	1.06712086e+00	-1.11878324e-01	-5.57303976e-02	-5.61479268e-02
189            	-5.10856521e-04	1.06389839e+00	-1.28780705e-01	-6.49012089e-02	-6.38794959e-02
190            	-1.18476650e-03	1.06279775e+00	-1.36650280e-01	-6.95099064e-02	-6.71403734e-02
191            	-1.76692783e-03	1.06439080e+00	-1.35232886e-01	-6.93833707e-02	-6.58495151e-02
192            	-2.22241622e-03	1.06805762e+00	-1.24963585e-01	-6.47042086e-02	-6.02593761e-02
193            	-2.52701377e-03	1.07162494e+00	-1.06175767e-01	-5.56148971e-02	-5.05608695e-02
194            	-2.66525702e-03	1.07533623e+00	-7.98901640e-02	-4.26103390e-02	-3.72798250e-02
195            	-2.62421832e-03	1.07740381e+00	-4.68635806e-02	-2.60560086e-02	-2.08075720e-02
196            	-2.40070274e-03	1.07888967e+00	-1.02291558e-02	-7.51528065e-03	-2.71387518e-03
197            	-2.00381989e-03	1.07834467e+00	2.68293480e-02	1.14108541e-02	1.54184939e-02
198            	-1.45817548e-03	1.07574343e+00	6.15119724e-02	2.92978107e-02	3.22141617e-02
199            	-8.04740999e-04	1.07098569e+00	9.12068154e-02	4.47986667e-02	4.64081487e-02
200            	-9.50797391e-05	1.06598794e+00	1.14371110e-01	5.70904753e-02	5.72806348e-02
201            	6.14651485e-04	1.06300510e+00	1.29773166e-01	6.55012346e-02	6.42719316e-02
202            	1.27138987e-03	1.06224380e+00	1.36100203e-01	6.93214914e-02	6.67787117e-02
203            	1.83074635e-03	1.06435649e+00	1.33171604e-01	6.84165483e-02	6.47550556e-02
204            	2.25904261e-03	1.06802237e+00	1.21470903e-01	6.29944941e-02	5.84764089e-02
205            	2.53431716e-03	1.07165342e+00	1.01412660e-01	5.32406472e-02	4.81720128e-02
206            	2.64131426e-03	1.07521477e+00	7.40942429e-02	3.96884357e-02	3.44058072e-02
207            	2.56922829e-03	1.07708101e+00	4.05257640e-02	2.28321103e-02	1.76936537e-02
208            	2.31659204e-03	1.07840443e+00	3.84362495e-03	4.23840451e-03	-3.94779562e-04
209            	1.89471686e-03	1.07739983e+00	-3.27818183e-02	-1.44961923e-02	-1.82856260e-02
210            	1.33089562e-03	1.07439260e+00	-6.65315877e-02	-3.19348982e-02	-3.45966895e-02
211            	6.68062479e-04	1.06950424e+00	-9.49832702e-02	-4.68235726e-02	-4.81596976e-02
212            	-4.05713484e-05	1.06495695e+00	-1.16789421e-01	-5.84352820e-02	-5.83541393e-02
213            	-7.39317358e-04	1.06235279e+00	-1.30542423e-01	-6.60105291e-02	-6.45318944e-02
214            	-1.37689051e-03	1.06199363e+00	-1.35124874e-01	-6.89393277e-02	-6.61855467e-02
215            	-1.91086834e-03	1.06448674e+00	-1.30696214e-01	-6.72589753e-02	-6.34372386e-02
216            	-2.30952641e-03	1.06809174e+00	-1.17490520e-01	-6.10547863e-02	-5.64357334e-02
217            	-2.55304411e-03	1.07174296e+00	-9.61610556e-02	-5.06335719e-02	-4.55274837e-02
218            	-2.62661181e-03	1.07488851e+00	-6.78037809e-02	-3.65285022e-02	-3.12752786e-02
219            	-2.52116956e-03	1.07667885e+00	-3.36672252e-02	-1.93547822e-02	-1.43124431e-02
220            	-2.23736055e-03	1.07795950e+00	2.94467195e-03	-7.65024577e-04	3.70969652e-03
221            	-1.78890273e-03	1.07663854e+00	3.90420992e-02	1.77321469e-02	2.13099523e-02
222            	-1.20620418e-03	1.07308511e+00	7.17417149e-02	3.46646532e-02	3.70770616e-02
223            	-5.34064642e-04	1.06802541e+00	9.89151950e-02	4.89235329e-02	4.99916621e-02
224            	1.73392526e-04	1.06387136e+00	1.19214728e-01	5.97807565e-02	5.94339714e-02
225            	8.61496183e-04	1.06181792e+00	1.31215356e-01	6.64691742e-02	6.47461819e-02
226            	1.47984954e-03	1.06188275e+00	1.34033189e-01	6.84964438e-02	6.55367448e-02
227            	1.98846173e-03	1.06470382e+00	1.27986157e-01	6.59815402e-02	6.20046168e-02
228            	2.35746147e-03	1.06813498e+00	1.13227186e-01	5.89710546e-02	5.42561316e-02
229            	2.56887778e-03	1.07180384e+00	9.05590774e-02	4.78484165e-02	4.27106609e-02
230            	2.60816515e-03	1.07478255e+00	6.09794195e-02	3.30978749e-02	2.78815446e-02
231            	2.46825267e-03	1.07654730e+00	2.62909211e-02	1.56137132e-02	1.06772079e-02
232            	2.15244677e-03	1.07742858e+00	-1.02286691e-02	-2.96188779e-03	-7.26678134e-03
233            	1.67731244e-03	1.07572347e+00	-4.57244799e-02	-2.11849275e-02	-2.45395524e-02
234            	1.07614081e-03	1.07180749e+00	-7.73959484e-02	-3.76218334e-02	-3.97741150e-02
235            	3.95576375e-04	1.06674258e+00	-1.03235314e-01	-5.12220805e-02	-5.20132333e-02
