# Field minima and maxima
# Time          	field           	min             	location(min)   	max             	location(max)   
43.55           	U               	(-1.69491385e-01 -1.63132688e-01 -4.08848883e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27219909e-04 1.94816383e-01 3.19775473e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
43.55           	p               	-8.62368349e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939356e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
43.56           	U               	(-1.69491386e-01 -1.63132688e-01 -4.08848883e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27220517e-04 1.94816383e-01 3.19775473e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
43.56           	p               	-8.62368349e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939356e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
43.57           	U               	(-1.69491386e-01 -1.63132688e-01 -4.08848889e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27219428e-04 1.94816384e-01 3.19775453e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
43.57           	p               	-8.62368347e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939356e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
43.58           	U               	(-1.69491386e-01 -1.63132688e-01 -4.08848902e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27220142e-04 1.94816383e-01 3.19775488e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
43.58           	p               	-8.62368347e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939356e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
43.59           	U               	(-1.69491386e-01 -1.63132688e-01 -4.08848916e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27219964e-04 1.94816383e-01 3.19775480e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
43.59           	p               	-8.62368349e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939356e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
43.6            	U               	(-1.69491385e-01 -1.63132688e-01 -4.08848916e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27218969e-04 1.94816384e-01 3.19775480e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
43.6            	p               	-8.62368349e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939356e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
43.61           	U               	(-1.69491385e-01 -1.63132688e-01 -4.08848922e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27220050e-04 1.94816384e-01 3.19775504e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
43.61           	p               	-8.62368349e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939356e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
43.62           	U               	(-1.69491386e-01 -1.63132688e-01 -4.08848923e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27219453e-04 1.94816384e-01 3.19775488e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
43.62           	p               	-8.62368348e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939356e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
43.63           	U               	(-1.69491386e-01 -1.63132688e-01 -4.08848923e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27218603e-04 1.94816385e-01 3.19775488e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
43.63           	p               	-8.62368348e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939356e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
43.64           	U               	(-1.69491386e-01 -1.63132688e-01 -4.08848915e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27219744e-04 1.94816384e-01 3.19775492e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
43.64           	p               	-8.62368347e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939356e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
43.65           	U               	(-1.69491386e-01 -1.63132688e-01 -4.08848908e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27219138e-04 1.94816384e-01 3.19775471e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
43.65           	p               	-8.62368347e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939356e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
43.66           	U               	(-1.69491386e-01 -1.63132688e-01 -4.08848908e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27219846e-04 1.94816384e-01 3.19775473e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
43.66           	p               	-8.62368348e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939356e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
43.67           	U               	(-1.69491386e-01 -1.63132688e-01 -4.08848912e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27219487e-04 1.94816384e-01 3.19775470e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
43.67           	p               	-8.62368349e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939356e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
43.68           	U               	(-1.69491386e-01 -1.63132688e-01 -4.08848912e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27219034e-04 1.94816384e-01 3.19775470e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
43.68           	p               	-8.62368349e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939356e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
43.69           	U               	(-1.69491386e-01 -1.63132688e-01 -4.08848918e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27219559e-04 1.94816384e-01 3.19775504e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
43.69           	p               	-8.62368348e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939356e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
43.7            	U               	(-1.69491386e-01 -1.63132688e-01 -4.08848918e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27220651e-04 1.94816383e-01 3.19775504e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
43.7            	p               	-8.62368348e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939356e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
43.71           	U               	(-1.69491386e-01 -1.63132688e-01 -4.08848920e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27219678e-04 1.94816384e-01 3.19775470e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
43.71           	p               	-8.62368347e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939356e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
43.72           	U               	(-1.69491386e-01 -1.63132688e-01 -4.08848917e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27220204e-04 1.94816383e-01 3.19775483e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
43.72           	p               	-8.62368346e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939356e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
43.73           	U               	(-1.69491386e-01 -1.63132688e-01 -4.08848911e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27219679e-04 1.94816383e-01 3.19775485e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
43.73           	p               	-8.62368347e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939356e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
43.74           	U               	(-1.69491386e-01 -1.63132688e-01 -4.08848911e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27219068e-04 1.94816384e-01 3.19775485e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
43.74           	p               	-8.62368347e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939356e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
43.75           	U               	(-1.69491386e-01 -1.63132688e-01 -4.08848903e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27219870e-04 1.94816384e-01 3.19775500e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
43.75           	p               	-8.62368349e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939356e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
43.76           	U               	(-1.69491386e-01 -1.63132688e-01 -4.08848895e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27219577e-04 1.94816384e-01 3.19775472e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
43.76           	p               	-8.62368352e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939356e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
43.77           	U               	(-1.69491386e-01 -1.63132688e-01 -4.08848895e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27219142e-04 1.94816385e-01 3.19775472e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
43.77           	p               	-8.62368352e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939356e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
43.78           	U               	(-1.69491385e-01 -1.63132688e-01 -4.08848894e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27220219e-04 1.94816384e-01 3.19775501e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
43.78           	p               	-8.62368354e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939356e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
43.79           	U               	(-1.69491385e-01 -1.63132688e-01 -4.08848892e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27219738e-04 1.94816384e-01 3.19775481e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
43.79           	p               	-8.62368354e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939356e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
43.8            	U               	(-1.69491386e-01 -1.63132688e-01 -4.08848890e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27220179e-04 1.94816383e-01 3.19775481e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
43.8            	p               	-8.62368351e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939356e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
43.81           	U               	(-1.69491386e-01 -1.63132688e-01 -4.08848889e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27219608e-04 1.94816384e-01 3.19775468e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
43.81           	p               	-8.62368349e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939356e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
43.82           	U               	(-1.69491386e-01 -1.63132688e-01 -4.08848889e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27218967e-04 1.94816384e-01 3.19775468e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
43.82           	p               	-8.62368349e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939356e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
43.83           	U               	(-1.69491386e-01 -1.63132688e-01 -4.08848893e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27219742e-04 1.94816384e-01 3.19775497e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
43.83           	p               	-8.62368348e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939356e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
43.84           	U               	(-1.69491386e-01 -1.63132688e-01 -4.08848901e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27219533e-04 1.94816384e-01 3.19775485e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
43.84           	p               	-8.62368346e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939356e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
43.85           	U               	(-1.69491386e-01 -1.63132688e-01 -4.08848901e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27219181e-04 1.94816385e-01 3.19775485e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
43.85           	p               	-8.62368346e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939356e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
43.86           	U               	(-1.69491385e-01 -1.63132688e-01 -4.08848901e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27218902e-04 1.94816385e-01 3.19775485e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
43.86           	p               	-8.62368346e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939356e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
43.87           	U               	(-1.69491385e-01 -1.63132688e-01 -4.08848918e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27220128e-04 1.94816384e-01 3.19775510e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
43.87           	p               	-8.62368344e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939356e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
43.88           	U               	(-1.69491385e-01 -1.63132688e-01 -4.08848923e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27219349e-04 1.94816384e-01 3.19775479e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
43.88           	p               	-8.62368345e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939356e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
43.89           	U               	(-1.69491385e-01 -1.63132688e-01 -4.08848923e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27218308e-04 1.94816385e-01 3.19775479e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
43.89           	p               	-8.62368345e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939356e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
43.9            	U               	(-1.69491385e-01 -1.63132688e-01 -4.08848912e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27219592e-04 1.94816384e-01 3.19775499e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
43.9            	p               	-8.62368348e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939356e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
43.91           	U               	(-1.69491385e-01 -1.63132688e-01 -4.08848898e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27219473e-04 1.94816384e-01 3.19775490e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
43.91           	p               	-8.62368349e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939356e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
43.92           	U               	(-1.69491386e-01 -1.63132688e-01 -4.08848898e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27219134e-04 1.94816385e-01 3.19775490e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
43.92           	p               	-8.62368349e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939356e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
43.93           	U               	(-1.69491386e-01 -1.63132688e-01 -4.08848888e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27220225e-04 1.94816384e-01 3.19775502e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
43.93           	p               	-8.62368349e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939356e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
43.94           	U               	(-1.69491386e-01 -1.63132688e-01 -4.08848878e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27219435e-04 1.94816384e-01 3.19775471e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
43.94           	p               	-8.62368349e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939356e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
43.95           	U               	(-1.69491386e-01 -1.63132688e-01 -4.08848871e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27219657e-04 1.94816383e-01 3.19775468e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
43.95           	p               	-8.62368349e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939356e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
43.96           	U               	(-1.69491386e-01 -1.63132688e-01 -4.08848871e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27220011e-04 1.94816383e-01 3.19775468e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
43.96           	p               	-8.62368349e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939356e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
43.97           	U               	(-1.69491386e-01 -1.63132688e-01 -4.08848873e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27219110e-04 1.94816384e-01 3.19775449e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
43.97           	p               	-8.62368348e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939356e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
43.98           	U               	(-1.69491386e-01 -1.63132688e-01 -4.08848882e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27220175e-04 1.94816383e-01 3.19775485e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
43.98           	p               	-8.62368348e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939356e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
43.99           	U               	(-1.69491386e-01 -1.63132688e-01 -4.08848894e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27219900e-04 1.94816384e-01 3.19775481e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
43.99           	p               	-8.62368350e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939356e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
44              	U               	(-1.69491386e-01 -1.63132688e-01 -4.08848894e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27219469e-04 1.94816385e-01 3.19775481e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
44              	p               	-8.62368350e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939356e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
44.01           	U               	(-1.69491385e-01 -1.63132688e-01 -4.08848904e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27220472e-04 1.94816384e-01 3.19775505e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
44.01           	p               	-8.62368349e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939356e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
44.02           	U               	(-1.69491385e-01 -1.63132688e-01 -4.08848906e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27219555e-04 1.94816384e-01 3.19775473e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
44.02           	p               	-8.62368348e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939356e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
44.03           	U               	(-1.69491385e-01 -1.63132688e-01 -4.08848906e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27218395e-04 1.94816385e-01 3.19775473e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
44.03           	p               	-8.62368348e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939356e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
44.04           	U               	(-1.69491385e-01 -1.63132688e-01 -4.08848894e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27219513e-04 1.94816384e-01 3.19775494e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
44.04           	p               	-8.62368346e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939356e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
44.05           	U               	(-1.69491385e-01 -1.63132688e-01 -4.08848880e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27219204e-04 1.94816384e-01 3.19775477e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
44.05           	p               	-8.62368345e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939356e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
44.06           	U               	(-1.69491385e-01 -1.63132688e-01 -4.08848875e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27220053e-04 1.94816384e-01 3.19775474e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
44.06           	p               	-8.62368346e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939356e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
44.07           	U               	(-1.69491385e-01 -1.63132688e-01 -4.08848879e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27219656e-04 1.94816384e-01 3.19775465e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
44.07           	p               	-8.62368348e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939356e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
44.08           	U               	(-1.69491385e-01 -1.63132688e-01 -4.08848879e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27219132e-04 1.94816384e-01 3.19775465e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
44.08           	p               	-8.62368348e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939356e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
44.09           	U               	(-1.69491385e-01 -1.63132688e-01 -4.08848893e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27219493e-04 1.94816384e-01 3.19775502e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
44.09           	p               	-8.62368349e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939356e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
44.1            	U               	(-1.69491385e-01 -1.63132688e-01 -4.08848893e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27220377e-04 1.94816383e-01 3.19775502e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
44.1            	p               	-8.62368349e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939356e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
44.11           	U               	(-1.69491385e-01 -1.63132688e-01 -4.08848902e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27219431e-04 1.94816384e-01 3.19775473e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
44.11           	p               	-8.62368346e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939356e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
44.12           	U               	(-1.69491385e-01 -1.63132688e-01 -4.08848908e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27220026e-04 1.94816383e-01 3.19775486e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
44.12           	p               	-8.62368345e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939356e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
44.13           	U               	(-1.69491385e-01 -1.63132688e-01 -4.08848910e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27219626e-04 1.94816383e-01 3.19775487e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
44.13           	p               	-8.62368346e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939356e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
44.14           	U               	(-1.69491385e-01 -1.63132688e-01 -4.08848910e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27219134e-04 1.94816384e-01 3.19775487e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
44.14           	p               	-8.62368346e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939356e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
44.15           	U               	(-1.69491385e-01 -1.63132688e-01 -4.08848907e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27219922e-04 1.94816384e-01 3.19775502e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
44.15           	p               	-8.62368349e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939356e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
44.16           	U               	(-1.69491385e-01 -1.63132688e-01 -4.08848901e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27219569e-04 1.94816384e-01 3.19775472e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
44.16           	p               	-8.62368352e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939356e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
44.17           	U               	(-1.69491385e-01 -1.63132688e-01 -4.08848901e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27219071e-04 1.94816384e-01 3.19775472e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
44.17           	p               	-8.62368352e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939356e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
44.18           	U               	(-1.69491385e-01 -1.63132688e-01 -4.08848896e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27220104e-04 1.94816384e-01 3.19775501e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
44.18           	p               	-8.62368354e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939356e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
44.19           	U               	(-1.69491385e-01 -1.63132688e-01 -4.08848888e-21)	(7.03418672e-01 3.95671824e-01 5.00000000e-01)	(-8.27219654e-04 1.94816384e-01 3.19775482e-21)	(2.54873873e-01 8.22148978e-01 5.00000000e-01)
44.19           	p               	-8.62368354e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.32939356e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
