# Force coefficients
# liftDir      : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# dragDir      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis    : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf      : 1.00000000e+00
# lRef         : 1.00000000e+00
# Aref         : 2.00000000e+00
# CofR         : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
# Time         	Cm             	Cd             	Cl             	Cl(f)          	Cl(r)          
7              	-4.51025190e-03	2.40665304e+00	-1.25281352e-01	-6.71509279e-02	-5.81304241e-02
7.05           	-4.64592900e-03	2.40506570e+00	-1.22796179e-01	-6.60440183e-02	-5.67521603e-02
7.1            	-4.77611419e-03	2.40348930e+00	-1.20365545e-01	-6.49588869e-02	-5.54066585e-02
7.15           	-4.90088056e-03	2.40192605e+00	-1.17979134e-01	-6.38904477e-02	-5.40886866e-02
7.2            	-5.02012353e-03	2.40037862e+00	-1.15603856e-01	-6.28220516e-02	-5.27818045e-02
7.25           	-5.13408218e-03	2.39885679e+00	-1.13290534e-01	-6.17793494e-02	-5.15111850e-02
7.3            	-5.24286157e-03	2.39733891e+00	-1.10996471e-01	-6.07410972e-02	-5.02553741e-02
7.35           	-5.34654479e-03	2.39578359e+00	-1.08758214e-01	-5.97256517e-02	-4.90325621e-02
7.4            	-5.44519902e-03	2.39430096e+00	-1.06542288e-01	-5.87163429e-02	-4.78259449e-02
7.45           	-5.53890830e-03	2.39282395e+00	-1.04376865e-01	-5.77273410e-02	-4.66495244e-02
7.5            	-5.62774686e-03	2.39135465e+00	-1.02262406e-01	-5.67589501e-02	-4.55034564e-02
7.55           	-5.71177788e-03	2.38989958e+00	-1.00160180e-01	-5.57918677e-02	-4.43683120e-02
7.6            	-5.79108073e-03	2.38845411e+00	-9.81102032e-02	-5.48461823e-02	-4.32640209e-02
7.65           	-5.86573022e-03	2.38702104e+00	-9.61079809e-02	-5.39197206e-02	-4.21882602e-02
7.7            	-5.93579759e-03	2.38559797e+00	-9.41438334e-02	-5.30077143e-02	-4.11361191e-02
7.75           	-6.00135303e-03	2.38418990e+00	-9.22035769e-02	-5.21031415e-02	-4.01004354e-02
7.8            	-6.06247546e-03	2.38279067e+00	-9.03142391e-02	-5.12195950e-02	-3.90946441e-02
7.85           	-6.11923761e-03	2.38140301e+00	-8.84636836e-02	-5.03510794e-02	-3.81126042e-02
7.9            	-6.17171328e-03	2.38002807e+00	-8.66520159e-02	-4.94977212e-02	-3.71542947e-02
7.95           	-6.21997459e-03	2.37866592e+00	-8.48692292e-02	-4.86545892e-02	-3.62146400e-02
8              	-6.26409497e-03	2.37730425e+00	-8.31146869e-02	-4.78214384e-02	-3.52932485e-02
8.05           	-6.30415285e-03	2.37596669e+00	-8.14136052e-02	-4.70109555e-02	-3.44026498e-02
8.1            	-6.34021995e-03	2.37463456e+00	-7.97581691e-02	-4.62193045e-02	-3.35388646e-02
8.15           	-6.37236265e-03	2.37331763e+00	-7.81250813e-02	-4.54349033e-02	-3.26901780e-02
8.2            	-6.40065680e-03	2.37200390e+00	-7.65348578e-02	-4.46680857e-02	-3.18667721e-02
8.25           	-6.42517719e-03	2.37070331e+00	-7.49950572e-02	-4.39227058e-02	-3.10723514e-02
8.3            	-6.44599151e-03	2.36941342e+00	-7.34818995e-02	-4.31869413e-02	-3.02949582e-02
8.35           	-6.46317172e-03	2.36813461e+00	-7.19989905e-02	-4.24626670e-02	-2.95363235e-02
8.4            	-6.47679263e-03	2.36686752e+00	-7.05586154e-02	-4.17561003e-02	-2.88025151e-02
8.45           	-6.48692323e-03	2.36560356e+00	-6.91493312e-02	-4.10615889e-02	-2.80877424e-02
8.5            	-6.49363940e-03	2.36435917e+00	-6.77992602e-02	-4.03932695e-02	-2.74059907e-02
8.55           	-6.49700057e-03	2.36311560e+00	-6.64487900e-02	-3.97213956e-02	-2.67273945e-02
8.6            	-6.49708645e-03	2.36188629e+00	-6.51525638e-02	-3.90733684e-02	-2.60791955e-02
8.65           	-6.49396523e-03	2.36066626e+00	-6.38923949e-02	-3.84401627e-02	-2.54522322e-02
8.7            	-6.48770509e-03	2.35945521e+00	-6.26678693e-02	-3.78216398e-02	-2.48462296e-02
8.75           	-6.47837234e-03	2.35826395e+00	-6.14663311e-02	-3.72115379e-02	-2.42547932e-02
8.8            	-6.46604247e-03	2.35704842e+00	-6.03255098e-02	-3.66287973e-02	-2.36967124e-02
8.85           	-6.45077407e-03	2.35586808e+00	-5.92060185e-02	-3.60537833e-02	-2.31522352e-02
8.9            	-6.43263733e-03	2.35469581e+00	-5.81151970e-02	-3.54902358e-02	-2.26249612e-02
8.95           	-6.41170286e-03	2.35352568e+00	-5.70623196e-02	-3.49428627e-02	-2.21194570e-02
9              	-6.38802033e-03	2.35237125e+00	-5.60405192e-02	-3.44082799e-02	-2.16322392e-02
9.05           	-6.36166692e-03	2.35122162e+00	-5.50497180e-02	-3.38865259e-02	-2.11631921e-02
9.1            	-6.33271869e-03	2.35008580e+00	-5.41144362e-02	-3.33899368e-02	-2.07244994e-02
9.15           	-6.30123374e-03	2.34895089e+00	-5.31830919e-02	-3.28927797e-02	-2.02903122e-02
9.2            	-6.26728345e-03	2.34782795e+00	-5.22894406e-02	-3.24120037e-02	-1.98774368e-02
9.25           	-6.23093392e-03	2.34671505e+00	-5.14349799e-02	-3.19484239e-02	-1.94865560e-02
9.3            	-6.19224708e-03	2.34560989e+00	-5.06106285e-02	-3.14975614e-02	-1.91130672e-02
9.35           	-6.15128376e-03	2.34450917e+00	-4.98090845e-02	-3.10558260e-02	-1.87532585e-02
9.4            	-6.10811354e-03	2.34341809e+00	-4.90667549e-02	-3.06414910e-02	-1.84252639e-02
9.45           	-6.06278971e-03	2.34233604e+00	-4.83333621e-02	-3.02294708e-02	-1.81038913e-02
9.5            	-6.01537489e-03	2.34126557e+00	-4.76292532e-02	-2.98300015e-02	-1.77992517e-02
9.55           	-5.96593418e-03	2.34020102e+00	-4.69600973e-02	-2.94459828e-02	-1.75141145e-02
9.6            	-5.91452741e-03	2.33914161e+00	-4.63186701e-02	-2.90738625e-02	-1.72448076e-02
9.65           	-5.86121519e-03	2.33807895e+00	-4.57076806e-02	-2.87150555e-02	-1.69926251e-02
9.7            	-5.80605967e-03	2.33703514e+00	-4.51484061e-02	-2.83802627e-02	-1.67681434e-02
9.75           	-5.74910551e-03	2.33600308e+00	-4.45716895e-02	-2.80349502e-02	-1.65367392e-02
9.8            	-5.69042409e-03	2.33497357e+00	-4.40445071e-02	-2.77126776e-02	-1.63318295e-02
9.85           	-5.63007354e-03	2.33393654e+00	-4.35576727e-02	-2.74089099e-02	-1.61487628e-02
9.9            	-5.56810295e-03	2.33292733e+00	-4.30817954e-02	-2.71090006e-02	-1.59727948e-02
9.95           	-5.50457281e-03	2.33192169e+00	-4.26368378e-02	-2.68229917e-02	-1.58138461e-02
10             	-5.43954147e-03	2.33092236e+00	-4.22269740e-02	-2.65530284e-02	-1.56739455e-02
10.05          	-5.37306217e-03	2.32992833e+00	-4.18401231e-02	-2.62931237e-02	-1.55469994e-02
10.1           	-5.30518979e-03	2.32894352e+00	-4.14772511e-02	-2.60438154e-02	-1.54334358e-02
10.15          	-5.23597897e-03	2.32796662e+00	-4.11382137e-02	-2.58050858e-02	-1.53331279e-02
10.2           	-5.16548640e-03	2.32699511e+00	-4.08339178e-02	-2.55824453e-02	-1.52514725e-02
10.25          	-5.09376289e-03	2.32602839e+00	-4.05491288e-02	-2.53683273e-02	-1.51808015e-02
10.3           	-5.02085994e-03	2.32506975e+00	-4.02842219e-02	-2.51629709e-02	-1.51212510e-02
10.35          	-4.94683277e-03	2.32412393e+00	-4.00573254e-02	-2.49754955e-02	-1.50818299e-02
10.4           	-4.87172671e-03	2.32317806e+00	-3.98328207e-02	-2.47881370e-02	-1.50446836e-02
10.45          	-4.79559876e-03	2.32224106e+00	-3.96461411e-02	-2.46186693e-02	-1.50274718e-02
10.5           	-4.71849582e-03	2.32131135e+00	-3.94784110e-02	-2.44577013e-02	-1.50207097e-02
10.55          	-4.64046825e-03	2.32038763e+00	-3.93370773e-02	-2.43090069e-02	-1.50280704e-02
10.6           	-4.56156236e-03	2.31947104e+00	-3.92116160e-02	-2.41673704e-02	-1.50442456e-02
10.65          	-4.48182927e-03	2.31855855e+00	-3.91250519e-02	-2.40443552e-02	-1.50806967e-02
10.7           	-4.40131097e-03	2.31765903e+00	-3.90487869e-02	-2.39257044e-02	-1.51230825e-02
10.75          	-4.32005575e-03	2.31676136e+00	-3.89924558e-02	-2.38162836e-02	-1.51761721e-02
10.8           	-4.23811124e-03	2.31586986e+00	-3.89624912e-02	-2.37193569e-02	-1.52431344e-02
10.85          	-4.15552205e-03	2.31498490e+00	-3.89556232e-02	-2.36333336e-02	-1.53222895e-02
10.9           	-4.07233045e-03	2.31410902e+00	-3.89589869e-02	-2.35518239e-02	-1.54071630e-02
10.95          	-3.98858376e-03	2.31323597e+00	-3.89894638e-02	-2.34833157e-02	-1.55061481e-02
11             	-3.90432566e-03	2.31237245e+00	-3.90487570e-02	-2.34287042e-02	-1.56200528e-02
11.05          	-3.81959043e-03	2.31151424e+00	-3.90941309e-02	-2.33666559e-02	-1.57274750e-02
